Date,N1,N2,N3,N4,N5,FireBall
12.08.2016,1,3,9,27,33,1
09.08.2016,6,8,15,21,25,5
05.08.2016,7,8,10,16,20,10
02.08.2016,1,17,19,29,33,2
29.07.2016,5,17,24,26,31,9
26.07.2016,8,23,30,31,35,10
22.07.2016,3,6,8,10,14,6
19.07.2016,1,15,17,24,28,5
15.07.2016,6,7,9,16,26,4
12.07.2016,8,26,28,30,32,6
08.07.2016,7,12,14,27,31,10
05.07.2016,4,9,14,23,32,10
01.07.2016,5,20,24,25,30,4
28.06.2016,4,6,14,31,35,6
24.06.2016,6,15,17,29,34,3
21.06.2016,11,22,23,24,25,5
17.06.2016,8,13,19,20,35,1
14.06.2016,19,23,24,29,34,8
10.06.2016,9,16,18,27,34,10
07.06.2016,5,7,13,23,31,6
03.06.2016,2,13,17,22,30,7
31.05.2016,6,10,21,22,24,1
27.05.2016,6,15,23,25,35,10
24.05.2016,8,16,19,21,22,4
20.05.2016,12,18,21,22,33,4
17.05.2016,3,8,23,29,32,6
13.05.2016,11,12,16,26,28,1
10.05.2016,3,11,15,17,29,1
06.05.2016,4,5,12,22,25,8
03.05.2016,2,19,25,34,35,6
29.04.2016,3,8,27,29,31,3
26.04.2016,1,12,17,24,35,9
22.04.2016,18,19,29,32,33,5
19.04.2016,3,6,10,11,28,2
15.04.2016,2,6,11,15,18,8
12.04.2016,4,21,22,28,33,4
08.04.2016,17,25,29,30,31,7
05.04.2016,4,13,23,25,29,6
01.04.2016,3,4,6,22,27,1
29.03.2016,5,14,21,28,32,8
22.03.2016,1,17,22,23,25,7
18.03.2016,12,14,19,27,35,9
15.03.2016,10,11,13,14,20,3
11.03.2016,10,15,22,23,25,6
08.03.2016,14,16,19,31,34,1
04.03.2016,6,10,11,15,31,2
01.03.2016,15,27,29,30,34,1
26.02.2016,9,16,21,32,33,2
23.02.2016,2,5,21,29,33,3
19.02.2016,7,8,11,25,29,10
16.02.2016,7,18,19,23,31,7
12.02.2016,3,4,6,9,16,7
09.02.2016,6,8,15,22,28,6
05.02.2016,7,12,18,34,35,7
02.02.2016,1,5,12,17,34,3
29.01.2016,2,3,11,13,21,8
