Date,N1,N2,N3,N4,N5,FireBall
2014-06-10,7,10,12,18,27,10
2014-06-13,3,13,21,27,31,5
2014-06-17,5,7,12,26,32,2
2014-06-20,4,13,24,26,31,2
2014-06-24,5,19,20,22,34,5
2014-06-27,1,14,22,24,33,1
2014-07-01,6,7,10,19,26,6
2014-07-04,2,12,23,33,34,6
2014-07-08,1,23,26,29,30,7
2014-07-11,9,15,18,24,35,10
2014-07-15,4,6,18,27,30,2
2014-07-18,8,10,26,29,34,8
2014-07-22,17,19,20,28,29,2
2014-07-25,3,4,8,20,25,7
2014-07-29,8,9,10,18,34,10
2014-08-01,17,19,23,29,33,5
2014-08-05,2,4,11,31,33,7
2014-08-08,1,9,16,26,35,7
2014-08-12,11,14,15,20,25,10
2014-08-15,7,9,10,18,26,3
2014-08-19,1,19,29,34,35,9
2014-08-22,1,5,10,17,21,10
2014-08-26,11,13,21,25,30,5
2014-08-29,11,20,26,31,33,1
2014-09-02,5,7,14,23,35,7
2014-09-05,1,11,15,20,35,5
2014-09-09,2,3,9,19,27,6
2014-09-12,5,15,23,26,28,7
2014-09-16,9,10,21,23,35,1
2014-09-19,2,6,20,30,33,6
2014-09-23,3,7,11,30,35,10
2014-09-26,3,4,18,21,30,5
2014-09-30,2,6,16,28,35,9
2014-10-03,1,3,7,12,29,3
2014-10-07,1,10,18,22,27,8
2014-10-10,3,5,6,13,15,5
2014-10-14,16,20,24,28,30,6
2014-10-17,13,17,29,30,32,5
2014-10-21,5,11,14,31,32,8
2014-10-24,8,15,16,28,35,2
2014-10-28,9,15,20,25,32,9
2014-10-31,3,6,19,23,25,6
2014-11-04,4,6,10,24,32,5
2014-11-07,5,22,23,25,29,6
2014-11-11,9,12,13,21,30,2
2014-11-14,4,9,21,31,35,6
2014-11-18,13,17,20,33,34,9
2014-11-21,8,23,30,32,33,5
2014-11-25,14,19,21,26,28,4
2014-11-28,1,5,15,27,31,5
2014-12-02,12,15,16,23,29,9
2014-12-05,12,18,23,28,30,1
2014-12-09,1,5,16,19,28,9
2014-12-12,3,7,15,20,25,6
2014-12-16,11,12,23,24,30,5
2014-12-19,4,8,18,24,34,7
2014-12-23,5,9,20,25,31,3
2014-12-26,6,7,9,29,33,1
2014-12-30,7,8,10,14,18,4
2015-01-02,1,11,22,23,32,8
2015-01-06,4,9,23,29,32,4
2015-01-09,15,26,30,34,35,9
2015-01-13,10,16,17,24,31,1
2015-01-16,8,17,20,28,30,3
2015-01-20,5,8,14,23,29,10
2015-01-23,1,2,7,18,19,1
2015-01-27,2,6,7,13,25,6
2015-01-30,10,14,15,18,32,9
2015-02-03,1,4,6,23,25,7
2015-02-06,3,5,11,18,19,6
2015-02-10,7,13,16,21,24,9
2015-02-13,7,9,11,12,34,3
2015-02-17,5,15,27,28,31,4
2015-02-20,9,16,19,30,33,7
2015-02-24,1,9,14,21,30,1
2015-02-27,4,7,19,21,32,4
2015-03-03,6,15,19,21,24,2
2015-03-06,2,9,15,28,35,2
2015-03-10,3,5,14,16,32,2
2015-03-13,8,12,21,25,29,6
2015-03-17,7,8,9,11,13,9
2015-03-20,7,8,11,25,28,1
2015-03-24,15,17,19,20,34,5
2015-03-27,2,3,7,13,31,2
2015-03-31,6,15,21,22,25,9
2015-04-07,15,18,19,25,32,9
2015-04-10,6,12,20,27,30,5
2015-04-14,8,9,25,29,30,10
2015-04-17,2,3,14,15,18,10
2015-04-21,1,14,15,26,30,10
2015-04-24,15,24,25,33,34,2
2015-04-28,9,13,14,25,27,5
2015-05-01,3,4,5,21,25,3
2015-05-05,4,14,21,24,28,8
2015-05-06,1,5,15,18,26,10
2015-05-08,3,16,19,26,28,8
2015-05-12,7,9,19,21,24,4
2015-05-15,3,9,18,22,34,3
2015-05-19,13,14,17,24,28,9
